station_cd,station_g_cd,station_name,station_name_en,station_name_k,station_name_r,line_cd,pref_cd,post,address,address_en,lon,lat,open_ymd,close_ymd,e_status,e_sort,postcode,city_en,prefecture
1110101,1110101,函館,Hakodate,,,11101,1,400063,北海道函館市若松町１２-１３,Hokkaidou Hakodate shi Wakamatsuchou 12 - 13,140.726413,41.773709,1902-12-10,0000-00-00,0,1110101,400063,Hakodate shi,Hokkaidou
1110102,1110102,五稜郭,Goryoukaku,,,11101,1,410813,函館市亀田本町,Hakodate shi Kameda Honchou,140.733539,41.803557,0000-00-00,0000-00-00,0,1110102,410813,Hakodate shi,Hokkaidou
1110103,1110103,桔梗,Kikyou,,,11101,1,410801,北海道函館市桔梗３丁目４１-３６,Hokkaidou Hakodate shi kikyou 3 choume 41 - 36,140.722952,41.846457,1902-12-10,0000-00-00,0,1110103,410801,Hakodate shi,Hokkaidou
1110104,1110104,大中山,Daichuusan,,,11101,1,411121,亀田郡七飯町大字大中山,Kameda gun Nanae machi ooazadai Nakayama,140.71358,41.864641,0000-00-00,0000-00-00,0,1110104,411121,Kameda gun Nanae machi,Hokkaidou
1110105,1110105,七飯,Nanae,,,11101,1,411111,亀田郡七飯町字本町,Kameda gun Nanae chou ji Honchou,140.688556,41.886971,0000-00-00,0000-00-00,0,1110105,411111,Kameda gun Nanae machi,Hokkaidou
1110106,1110106,新函館北斗,ShinHakodate hokuto,,,11101,1,411242,北海道北斗市市渡,Hokkaidou hokuto shi shi watashi,140.646525,41.9054,1902-12-10,0000-00-00,0,1110106,411242,Hokuto shi,Hokkaidou
1110107,1110107,仁山,Hitoshisan,,,11101,1,411101,亀田郡七飯町字仁山,Kameda gun Nanae chou ji jinsan,140.635183,41.930011,0000-00-00,0000-00-00,0,1110107,411101,Kameda gun Nanae machi,Hokkaidou
1110108,1110108,大沼,Oonuma,,,11101,1,411354,北海道亀田郡七飯町字大沼町４,Hokkaidou Kameda gun Nanae chou ji Oonuma chou 4,140.669347,41.971954,1903-06-28,0000-00-00,0,1110108,411354,Kameda gun Nanae machi,Hokkaidou
1110109,1110109,大沼公園,Oonuma kouen,,,11101,1,411354,北海道亀田郡七飯町字大沼町８５,Hokkaidou Kameda gun Nanae chou ji Oonuma chou 85,140.669758,41.980958,1907-06-05,0000-00-00,0,1110109,411354,Kameda gun Nanae machi,Hokkaidou
1110110,1110110,赤井川,Akaigawa,,,11101,1,492142,茅部郡森町字赤井川,Kayabe gun Mori chou ji Akaigawa,140.642678,42.003267,0000-00-00,0000-00-00,0,1110110,492142,Kayabe gun Mori machi,Hokkaidou
1110111,1110111,駒ケ岳,Komagatake,,,11101,1,492300,北海道茅部郡森町字駒ヶ岳,Hokkaidou Kayabe gun Mori chou ji Komagatake,140.610476,42.038809,0000-00-00,0000-00-00,0,1110111,492300,Kayabe gun Mori machi,Hokkaidou
1110112,1110112,東山,Higashiyama,,,11101,1,492141,茅部郡森町字駒ケ岳,Kayabe gun Mori chou ji Komagatake,140.605222,42.06172,1943-02-26,2017-03-04,2,1110112,492141,Kayabe gun Mori machi,Hokkaidou
1110113,1110113,姫川,Himekawa,,,11101,1,492306,茅部郡森町字姫川,Kayabe gun Mori chou ji Himekawa,140.591632,42.081312,1951-05-19,2017-03-04,2,1110113,492306,Kayabe gun Mori machi,Hokkaidou
1110114,1110114,池田園,Ikedaen,,,11101,1,411352,亀田郡七飯町字軍川,Kameda gun Nanae chou ji gun kawa,140.700333,41.990692,1945-06-01,2022-03-12,2,1110114,411352,Kameda gun Nanae machi,Hokkaidou
1110115,1110115,流山温泉,Nagareyama onsen,,,11101,1,411351,亀田郡七飯町字東大沼２３６,Kameda gun Nanae chou ji higashi Oonuma 236,140.716358,42.003483,2002-04-27,2022-03-12,2,1110115,411351,Kameda gun Nanae machi,Hokkaidou
1110116,1110116,銚子口,Choushi kuchi,,,11101,1,411351,亀田郡七飯町字東大沼,Kameda gun Nanae chou ji higashi Oonuma,140.720656,42.015471,1945-06-01,2022-03-12,2,1110116,411351,Kameda gun Nanae machi,Hokkaidou
1110117,1110117,鹿部,Shikabe,,,11101,1,411404,茅部郡鹿部町字本別,Kayabe gun Shikabe chou ji Honbetsu,140.771393,42.06439,0000-00-00,0000-00-00,0,1110117,411404,Kayabe gun Shikabe machi,Hokkaidou
1110118,1110118,渡島沼尻,Oshima Numajiri,,,11101,1,492223,茅部郡森町砂原東４丁目,Kayabe gun Mori chou Sawara higashi 4 choume,140.747596,42.10706,0000-00-00,0000-00-00,0,1110118,492223,Kayabe gun Mori machi,Hokkaidou
1110119,1110119,渡島砂原,Oshima sunahara,,,11101,1,492222,茅部郡森町砂原４丁目,Kayabe gun Mori chou Sawara 4 choume,140.689451,42.12164,0000-00-00,0000-00-00,0,1110119,492222,Kayabe gun Mori machi,Hokkaidou
1110120,1110120,掛澗,Kakari kan,,,11101,1,492221,茅部郡森町砂原西３丁目,Kayabe gun Mori chou Sawara nishi 3 choume,140.64598,42.119205,0000-00-00,0000-00-00,0,1110120,492221,Kayabe gun Mori machi,Hokkaidou
1110121,1110121,尾白内,Ojironai,,,11101,1,492301,茅部郡森町字尾白内町,Kayabe gun Mori chou ji ojironai machi,140.613449,42.111232,0000-00-00,0000-00-00,0,1110121,492301,Kayabe gun Mori machi,Hokkaidou
1110122,1110122,東森,Higashi mori,,,11101,1,492302,茅部郡森町字港町,Kayabe gun Mori chou ji minatomachi,140.59353,42.106823,0000-00-00,0000-00-00,0,1110122,492302,Kayabe gun Mori machi,Hokkaidou
1110123,1110123,森,Mori,,,11101,1,492325,茅部郡森町字本町,Kayabe gun Mori chou ji Honchou,140.573846,42.108917,0000-00-00,0000-00-00,0,1110123,492325,Kayabe gun Mori machi,Hokkaidou
1110124,1110124,桂川,Katsuragawa,,,11101,1,492321,茅部郡森町字鷲ノ木町,Kayabe gun Mori chou ji washi no ki machi,140.5427876,42.1156004,1944-09-30,2017-03-04,2,1110124,492321,Kayabe gun Mori machi,Hokkaidou
1110125,1110125,石谷,Ishigaya,,,11101,1,492464,茅部郡森町字本茅部町,Kayabe gun Mori chou ji hon Kayabe machi,140.506525,42.135519,1930-03-20,2022-03-12,2,1110125,492464,Kayabe gun Mori machi,Hokkaidou
1110126,1110126,本石倉,Hongokusou,,,11101,1,492463,茅部郡森町字石倉町,Kayabe gun Mori chou ji ishigura machi,140.471957,42.159668,1944-09-10,2022-03-12,2,1110126,492463,Kayabe gun Mori machi,Hokkaidou
1110127,1110127,石倉,Ishigura,,,11101,1,492463,茅部郡森町字石倉町,Kayabe gun Mori chou ji ishigura machi,140.458436,42.17285,0000-00-00,0000-00-00,0,1110127,492463,Kayabe gun Mori machi,Hokkaidou
1110128,1110128,落部,Otoshibe,,,11101,1,492562,二海郡八雲町落部,Futami gun Yakumo chou Otoshibe,140.420755,42.187617,0000-00-00,0000-00-00,0,1110128,492562,Futami gun Yakumo machi,Hokkaidou
1110129,1110129,野田生,Nodasei,,,11101,1,492672,二海郡八雲町野田生,Futami gun Yakumo chou Nodasei,140.37586,42.217104,0000-00-00,0000-00-00,0,1110129,492672,Futami gun Yakumo machi,Hokkaidou
1110130,1110130,山越,Yamagoe,,,11101,1,492671,二海郡八雲町山越,Futami gun Yakumo machi yamagoe,140.326593,42.231172,0000-00-00,0000-00-00,0,1110130,492671,Futami gun Yakumo machi,Hokkaidou
1110131,1110131,八雲,Yakumo,,,11101,1,493107,二海郡八雲町本町,Futami gun Yakumo chou Honchou,140.273342,42.253391,0000-00-00,0000-00-00,0,1110131,493107,Futami gun Yakumo machi,Hokkaidou
1110132,1110132,鷲ノ巣,Washi no su,,,11101,1,493122,二海郡八雲町花浦,Futami gun Yakumo machi hana ura,140.269919,42.278389,1987-04-01,2016-03-26,2,1110132,493122,Futami gun Yakumo machi,Hokkaidou
1110133,1110133,山崎,Yamazaki,,,11101,1,493342,二海郡八雲町山崎,Futami gun Yakumo chou Yamazaki,140.2746,42.314635,0000-00-00,0000-00-00,0,1110133,493342,Futami gun Yakumo machi,Hokkaidou
1110134,1110134,黒岩,Kuroiwa,,,11101,1,493341,二海郡八雲町黒岩,Futami gun Yakumo chou Kuroiwa,140.288173,42.368296,0000-00-00,0000-00-00,0,1110134,493341,Futami gun Yakumo machi,Hokkaidou
1110135,1110135,北豊津,Kita Toyotsu,,,11101,1,493464,山越郡長万部町字豊津,Yamakoshi gun Oshamanbe chou ji Toyotsu,140.297868,42.400969,1944-07-01,2017-03-04,2,1110135,493464,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110136,1110136,国縫,Kuni nui,,,11101,1,493462,山越郡長万部町字国縫,Yamakoshi gun Oshamanbe chou jikoku nui,140.320885,42.439319,0000-00-00,0000-00-00,0,1110136,493462,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110137,1110137,中ノ沢,Nakanosawa,,,11101,1,493512,山越郡長万部町字中の沢,Yamakoshi gun Oshamanbe chou jichuu no Sawa,140.346077,42.477928,0000-00-00,2024-03-16,2,1110137,493512,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110138,1110138,長万部,Oshamanbe,,,11101,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,1903-11-03,0000-00-00,0,1110138,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
